# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
18962.0000 Y36 0 1 18962.0000 n56 n35 n/a N n56->n35
19082.0000 Y45 0 1 19082.0000 n56 n44 n/a N n56->n44
19221.0000 Y60 0 1 19221.0000 n56 n60 n/a N n56->n60
19333.0000 Y69 0 1 19333.0000 n56 n69 n/a N n56->n69
19366.0000 Y75 0 1 19366.0000 n56 n75 n/a N n56->n75
20782.0000 Y33 0 1 20782.0000 n56 n32 n/a N n56->n32
22340.0000 Y47 0 1 22340.0000 n56 n46 n/a N n56->n46
22872.0000 Y25 0 1 22872.0000 n56 n24 n/a N n56->n24
22992.0000 Y49 0 1 22992.0000 n56 n48 n/a N n56->n48
23272.0000 Y73 0 1 23272.0000 n56 n73 n/a N n56->n73
23399.0000 Y32 0 1 23399.0000 n56 n31 n/a N n56->n31
23530.0000 Y26 0 1 23530.0000 n56 n25 n/a N n56->n25
23659.0000 Y21 0 1 23659.0000 n56 n20 n/a N n56->n20
23926.0000 Y64 0 1 23926.0000 n56 n64 n/a N n56->n64
24046.0000 Y63 0 1 24046.0000 n56 n63 n/a N n56->n63
24439.0000 Y14 0 1 24439.0000 n56 n13 n/a N n56->n13
24512.0000 Y7 0 1 24512.0000 n56 n6 n/a N n56->n6
24598.0000 Y11 0 1 24598.0000 n56 n10 n/a N n56->n10
25808.0000 Y43 0 1 25808.0000 n56 n42 n/a N n56->n42
26729.0000 Y28 0 1 26729.0000 n56 n27 n/a N n56->n27
27046.0000 Y15 0 1 27046.0000 n56 n14 n/a N n56->n14
27211.0000 Y13 0 1 27211.0000 n56 n12 n/a N n56->n12
30204.0000 Y8 0 5 30204.0000 n56 n7 n/a N n56->n14->n38->n20->n6->n7
49286.0000 Y12 0 1 49286.0000 n56 n11 n/a N n56->n11
88641.0000 Y6 0 1 88641.0000 n56 n5 n/a N n56->n5
88764.0000 Y38 0 1 88764.0000 n56 n37 n/a N n56->n37
88951.0000 Y42 0 1 88951.0000 n56 n41 n/a N n56->n41
90167.0000 Y27 0 1 90167.0000 n56 n26 n/a N n56->n26
90167.0000 Y31 0 1 90167.0000 n56 n30 n/a N n56->n30
90557.0000 Y17 0 1 90557.0000 n56 n16 n/a N n56->n16
90817.0000 Y1 0 1 90817.0000 n56 n0 n/a N n56->n0
90922.0000 Y3 0 1 90922.0000 n56 n2 n/a N n56->n2
92543.0000 Y4 0 1 92543.0000 n56 n3 n/a N n56->n3
93352.0000 Y74 0 1 93352.0000 n56 n74 n/a N n56->n74
94716.0000 Y34 0 1 94716.0000 n56 n33 n/a N n56->n33
95145.0000 Y39 0 4 95145.0000 n56 n38 n/a N n56->n2->n0->n30->n38
95943.0000 Y46 0 5 95943.0000 n56 n45 n/a N n56->n37->n75->n38->n14->n45
96847.0000 Y59 0 1 96847.0000 n56 n59 n/a N n56->n59
96884.0000 Y62 0 1 96884.0000 n56 n62 n/a N n56->n62
97118.0000 Y55 0 1 97118.0000 n56 n54 n/a N n56->n54
97630.0000 Y53 0 1 97630.0000 n56 n52 n/a N n56->n52
99725.0000 Y22 0 1 99725.0000 n56 n21 n/a N n56->n21
99854.0000 Y20 0 2 99854.0000 n56 n19 n/a N n56->n38->n19
100004.0000 Y16 0 1 100004.0000 n56 n15 n/a N n56->n15
100611.0000 Y29 0 2 100611.0000 n56 n28 n/a N n56->n2->n28
101427.0000 Y70 0 1 101427.0000 n56 n70 n/a N n56->n70
102042.0000 Y58 0 1 102042.0000 n56 n58 n/a N n56->n58
103012.0000 Y40 0 1 103012.0000 n56 n39 n/a N n56->n39
105626.0000 Y65 0 1 105626.0000 n56 n65 n/a N n56->n65
106055.0000 Y30 0 2 106055.0000 n56 n29 n/a N n56->n38->n29
106702.0000 Y2 0 1 106702.0000 n56 n1 n/a N n56->n1
107076.0000 Y9 0 2 107076.0000 n56 n8 n/a N n56->n38->n8
112083.0000 Y18 0 2 112083.0000 n56 n17 n/a N n56->n38->n17
112177.0000 Y51 0 2 112177.0000 n56 n50 n/a N n56->n38->n50
114690.0000 Y19 0 1 114690.0000 n56 n18 n/a N n56->n18
115488.0000 Y44 0 1 115488.0000 n56 n43 n/a N n56->n43
118651.0000 Y48 0 2 118651.0000 n56 n47 n/a N n56->n38->n47
120782.0000 Y56 0 2 120782.0000 n56 n55 n/a N n56->n38->n55
135946.0000 Y68 0 10 135946.0000 n56 n68 n/a N n56->n15->n13->n59->n54->n46->n65->n64->n0->n21->n68
137723.0000 Y50 0 2 137723.0000 n56 n49 n/a N n56->n38->n49
141485.0000 Y35 0 11 141485.0000 n56 n34 n/a N n56->n38->n29->n26->n62->n35->n65->n64->n60->n30->n59->n34
175633.0000 Y52 0 4 175633.0000 n56 n51 n/a N n56->n7->n32->n10->n51
175921.0000 Y10 0 5 175921.0000 n56 n9 n/a N n56->n30->n70->n74->n24->n9
178721.0000 Y24 0 3 178721.0000 n56 n23 n/a N n56->n38->n30->n23
185351.0000 Y5 0 3 185351.0000 n56 n4 n/a N n56->n38->n29->n4
201459.0000 Y54 0 6 201459.0000 n56 n53 n/a N n56->n38->n30->n60->n24->n54->n53
266104.0000 Y71 0 9 266104.0000 n56 n71 n/a N n56->n38->n8->n63->n11->n62->n35->n65->n46->n71
