# messageDelay  cumulativeProbability
18962.0000 0.0133
19082.0000 0.0267
19221.0000 0.0400
19333.0000 0.0533
19366.0000 0.0667
20782.0000 0.0800
22340.0000 0.0933
22872.0000 0.1067
22992.0000 0.1200
23272.0000 0.1333
23399.0000 0.1467
23530.0000 0.1600
23659.0000 0.1733
23926.0000 0.1867
24046.0000 0.2000
24439.0000 0.2133
24512.0000 0.2267
24598.0000 0.2400
25808.0000 0.2533
26729.0000 0.2667
27046.0000 0.2800
27211.0000 0.2933
30204.0000 0.3067
49286.0000 0.3200
88641.0000 0.3333
88764.0000 0.3467
88951.0000 0.3600
90167.0000 0.3733
90167.0000 0.3867
90557.0000 0.4000
90817.0000 0.4133
90922.0000 0.4267
92543.0000 0.4400
93352.0000 0.4533
94716.0000 0.4667
95145.0000 0.4800
95943.0000 0.4933
96847.0000 0.5067
96884.0000 0.5200
97118.0000 0.5333
97630.0000 0.5467
99725.0000 0.5600
99854.0000 0.5733
100004.0000 0.5867
100611.0000 0.6000
101427.0000 0.6133
102042.0000 0.6267
103012.0000 0.6400
105626.0000 0.6533
106055.0000 0.6667
106702.0000 0.6800
107076.0000 0.6933
112083.0000 0.7067
112177.0000 0.7200
114690.0000 0.7333
115488.0000 0.7467
118651.0000 0.7600
120782.0000 0.7733
135946.0000 0.7867
137723.0000 0.8000
141485.0000 0.8133
175633.0000 0.8267
175921.0000 0.8400
178721.0000 0.8533
185351.0000 0.8667
201459.0000 0.8800
266104.0000 0.8933
